Episode,Total Reward,Average Loss,Epsilon
0,-9.5,2.1720017914305743,0.95
1,-9.5,0.7248966962024382,0.9495501124812523
2,-9.5,0.5587344174388541,0.9491004498500375
3,-9.5,0.5112260860132883,0.9486510119939398
4,-10.0,0.5231658846662756,0.9482017988005997
5,10.0,0.4809641932568899,0.9477528101577141
6,-10.0,0.46229374516603633,0.9473040459530356
7,-10.0,0.5189684132734934,0.9468555060743733
8,-9.75,0.47567206300074055,0.9464071904095923
9,-10.0,0.48839788775918525,0.9459590988466134
10,-9.75,0.40906235927076484,0.9455112312734141
11,-9.5,0.37376414913506734,0.9450635875780271
12,-9.75,0.3466036211454332,0.9446161676485417
13,-10.0,0.34626710955548073,0.9441689713731028
14,10.0,0.3461373015091969,0.9437219986399116
15,10.0,0.33173853714964285,0.9432752493372245
16,-9.75,0.2900992647910411,0.9428287233533545
17,-10.0,0.3146119798318698,0.94238242057667
18,10.5,0.2918779554441464,0.9419363408955952
19,-10.0,0.28606695400344,0.9414904841986104
20,-10.0,0.25255908419810585,0.9410448503742512
21,-10.0,0.23195323183308894,0.9405994393111093
22,10.0,0.2202437016509828,0.9401542508978318
23,-9.5,0.20776724850285225,0.9397092850231217
24,-10.0,0.2082696546179553,0.9392645415757375
25,-10.0,0.18150409432752496,0.9388200204444933
26,11.75,0.18507798798634723,0.9383757215182588
27,10.25,0.16160370542228908,0.9379316446859594
28,-9.75,0.17199255009506678,0.9374877898365757
29,-10.0,0.14613568307934227,0.9370441568591441
30,-10.0,0.15152660213410854,0.9366007456427563
31,-10.0,0.1908763463256981,0.9361575560765596
32,10.0,0.18472292013466357,0.9357145880497566
33,-10.0,0.2159582566159467,0.9352718414516051
34,10.0,0.19055488653148162,0.9348293161714186
35,10.25,0.15983778887749772,0.9343870120985659
36,-10.0,0.17577682948287796,0.9339449291224706
37,-10.0,0.16359659570079405,0.9335030671326122
38,-9.5,0.18459831023223253,0.9330614260185254
39,-10.0,0.19069687443450817,0.9326200056697995
40,10.0,0.16443556295707823,0.9321788059760797
41,10.0,0.17897057784842207,0.9317378268270661
42,-9.5,0.17636651029608336,0.9312970681125136
43,-10.0,0.19828162307385355,0.9308565297222329
44,-10.0,0.19734425074988748,0.930416211546089
45,10.0,0.15634634270184283,0.9299761134740027
46,10.5,0.17446935881020093,0.9295362353959493
47,-10.0,0.12588211054864681,0.9290965772019595
48,-9.75,0.1989111407496085,0.9286571387821183
49,-10.0,0.20009246813196715,0.9282179200265666
50,10.25,0.18224864225649373,0.9277789208254993
51,-10.0,0.11327912128633923,0.927340141069167
52,10.0,0.16423977518247235,0.9269015806478744
53,-10.0,0.1485759880736299,0.9264632394519815
54,-9.75,0.17122697816589527,0.9260251173719031
55,10.0,0.19451226810259478,0.9255872142981085
56,-9.75,0.15603403287095194,0.9251495301211221
57,-9.5,0.16694160343872178,0.9247120647315229
58,-9.5,0.17069315156886275,0.9242748180199443
59,-10.0,0.18417505632553782,0.9238377898770748
60,10.25,0.18058700745864092,0.9234009801936574
61,10.0,0.1869254081820448,0.9229643888604894
62,-10.0,0.14107371156298837,0.9225280157684234
63,0.0,0.18735360764413478,0.9220918608083657
64,10.0,0.18654376251193194,0.9216559238712778
65,10.0,0.17981110498601316,0.9212202048481754
66,-9.5,0.1675008285976695,0.9207847036301288
67,10.0,0.18111968627199532,0.9203494201082625
68,10.25,0.18516094933881938,0.9199143541737559
69,11.0,0.1753763861439292,0.9194795057178423
70,10.5,0.1547759084968937,0.9190448746318097
71,-10.0,0.15599007349785254,0.9186104608070004
72,10.0,0.14967498799759738,0.9181762641348107
73,-9.5,0.14445407767930338,0.9177422845066916
74,10.0,0.19068664748273376,0.9173085218141481
75,-9.25,0.16474755196945695,0.9168749759487396
76,-9.75,0.14431504361843034,0.9164416468020795
77,10.0,0.07213994953781366,0.9160085342658357
78,10.5,0.1251287970074412,0.91557563823173
79,10.0,0.10601908229719634,0.9151429585915384
80,-9.75,0.11109535079917417,0.9147104952370908
81,-9.5,0.11575681389894142,0.9142782480602717
82,10.0,0.09156913722732238,0.9138462169530189
83,10.25,0.11980746239423752,0.913414401807325
84,-10.0,0.0939789888404162,0.912982802515236
85,-10.0,0.11260682765220731,0.9125514189688523
86,-10.0,0.10811127991667377,0.9121202510603276
87,10.0,0.10345194396841062,0.9116892986818702
88,-10.0,0.13541266273641023,0.9112585617257419
89,-9.75,0.11248630677225789,0.9108280400842587
90,10.0,0.10287069844145497,0.9103977336497899
91,-10.0,0.09796517393186231,0.909967642314759
92,-10.0,0.1073514877402402,0.9095377659716432
93,-9.75,0.10443327033016729,0.9091081045129732
94,0.0,0.11323941062848157,0.908678657831334
95,-9.5,0.1037007111277598,0.9082494258193637
96,10.0,0.10158601301114531,0.9078204083697542
97,10.0,0.09615457161898247,0.9073916053752513
98,10.25,0.1111077519836572,0.9069630167286543
99,-10.0,0.08414665546255681,0.9065346423228159
100,10.25,0.100123359462814,0.9061064820506426
101,10.0,0.07906297238323053,0.9056785358050942
102,10.25,0.09082267046361775,0.9052508034791843
103,-10.0,0.1069836548419998,0.9048232849659795
104,-10.0,0.09253026936094315,0.9043959801586006
105,10.0,0.14017438007367938,0.9039688889502211
106,10.0,0.08289977969581504,0.9035420112340683
107,10.25,0.07751618226172655,0.9031153469034228
108,-10.0,0.07272854089292582,0.9026888958516185
109,-9.75,0.08943710605709408,0.9022626579720425
110,-10.0,0.0874365831709969,0.9018366331581354
111,-10.0,0.08116668228160691,0.9014108213033912
112,10.0,0.08983837242481435,0.9009852223013566
113,10.0,0.10021226825764436,0.9005598360456321
114,-9.75,0.1027884537980488,0.900134662429871
115,-10.0,0.09420478797983378,0.8997097013477798
116,-10.0,0.18781057739111243,0.8992849526931186
117,-10.0,0.08719670438021422,0.8988604163596999
